,RM,LSTAT,CRIM,ZN,INDUS,CHAS,NOX,AGE,DIS,RAD,TAX,PTRATIO,B,Prices
337,6.343,20.32,14.2362,0.0,18.1,0.0,0.693,100.0,1.5741,24.0,666.0,20.2,396.9,7.2
338,6.816,3.95,0.01432,100.0,1.32,0.0,0.411,40.5,8.3248,5.0,256.0,15.1,392.9,31.6
339,5.813,14.81,0.67191,0.0,8.14,0.0,0.538,90.3,4.682,4.0,307.0,21.0,376.88,16.6
340,6.726,8.05,0.44791,0.0,6.2,1.0,0.507,66.5,3.6519,8.0,307.0,17.4,360.2,29.0
341,5.604,13.98,0.08308,0.0,2.46,0.0,0.488,89.8,2.9879,3.0,193.0,17.8,391.0,26.4
342,6.513,10.29,5.82115,0.0,18.1,0.0,0.713,89.9,2.8016,24.0,666.0,20.2,393.82,20.2
343,6.389,9.62,0.05059,0.0,4.49,0.0,0.449,48.0,4.7794,3.0,247.0,18.5,396.9,23.9
344,6.758,3.53,0.05644,40.0,6.41,1.0,0.447,32.9,4.0776,4.0,254.0,17.6,396.9,32.4
345,6.957,3.53,0.08221,22.0,5.86,0.0,0.431,6.8,8.9067,7.0,330.0,19.1,386.09,29.6
346,5.783,18.06,0.25199,0.0,10.59,0.0,0.489,72.7,4.3549,4.0,277.0,18.6,389.43,22.5
347,6.151,18.46,0.54452,0.0,21.89,0.0,0.624,97.9,1.6687,4.0,437.0,21.2,396.9,17.8
348,8.247,3.95,0.33147,0.0,6.2,0.0,0.507,70.4,3.6519,8.0,307.0,17.4,378.95,48.3
349,7.203,9.59,0.54011,20.0,3.97,0.0,0.647,81.8,2.1121,5.0,264.0,13.0,392.8,33.8
350,6.718,6.56,0.19073,22.0,5.86,0.0,0.431,17.5,7.8265,7.0,330.0,19.1,393.74,26.2
351,7.249,4.81,0.01311,90.0,1.22,0.0,0.403,21.9,8.6966,5.0,226.0,17.9,395.93,35.4
352,6.629,23.27,11.1604,0.0,18.1,0.0,0.74,94.6,2.1247,24.0,666.0,20.2,109.85,13.4
353,3.561,7.12,4.55587,0.0,18.1,0.0,0.718,87.9,1.6132,24.0,666.0,20.2,354.7,27.5
354,8.337,2.47,0.57529,0.0,6.2,0.0,0.507,73.3,3.8384,8.0,307.0,17.4,385.91,41.7
355,6.229,12.87,4.03841,0.0,18.1,0.0,0.532,90.7,3.0993,24.0,666.0,20.2,395.33,19.6
356,5.787,10.24,0.04379,80.0,3.37,0.0,0.398,31.1,6.6115,4.0,337.0,16.1,396.9,19.4
357,6.38,24.08,9.33889,0.0,18.1,0.0,0.679,95.6,1.9682,24.0,666.0,20.2,60.72,9.5
358,5.985,9.74,0.05497,0.0,5.19,0.0,0.515,45.4,4.8122,5.0,224.0,20.2,396.9,19.0
359,6.112,12.67,4.26131,0.0,18.1,0.0,0.77,81.3,2.5091,24.0,666.0,20.2,390.74,22.6
360,6.372,11.12,0.59005,0.0,21.89,0.0,0.624,97.9,2.3274,4.0,437.0,21.2,385.76,23.0
361,6.316,5.68,0.05083,0.0,5.19,0.0,0.515,38.1,6.4584,5.0,224.0,20.2,389.71,22.2
362,6.436,16.22,5.58107,0.0,18.1,0.0,0.713,87.9,2.3158,24.0,666.0,20.2,100.19,14.3
363,6.471,17.12,8.71675,0.0,18.1,0.0,0.693,98.8,1.7257,24.0,666.0,20.2,391.98,13.1
364,4.519,36.98,45.7461,0.0,18.1,0.0,0.693,100.0,1.6582,24.0,666.0,20.2,88.27,7.0
365,6.728,4.5,0.01709,90.0,2.02,0.0,0.41,36.1,12.1265,5.0,187.0,17.0,384.46,30.1
366,6.51,7.39,1.42502,0.0,19.58,0.0,0.871,100.0,1.7659,5.0,403.0,14.7,364.31,23.3
367,4.628,34.37,18.811,0.0,18.1,0.0,0.597,100.0,1.5539,24.0,666.0,20.2,28.79,17.9
368,6.546,5.33,0.06664,0.0,4.05,0.0,0.51,33.1,3.1323,5.0,296.0,16.6,390.96,29.4
369,6.482,7.19,0.07978,40.0,6.41,0.0,0.447,32.1,4.1403,4.0,254.0,17.6,396.9,29.1
370,5.304,26.64,25.9406,0.0,18.1,0.0,0.679,89.1,1.6475,24.0,666.0,20.2,127.36,10.4
371,6.86,6.92,0.06642,0.0,4.05,0.0,0.51,74.4,2.9153,5.0,296.0,16.6,391.27,29.9
372,6.023,11.72,0.26169,0.0,9.9,0.0,0.544,90.4,2.834,4.0,304.0,18.4,396.3,19.4
373,7.412,5.25,0.46296,0.0,6.2,0.0,0.504,76.9,3.6715,8.0,307.0,17.4,376.14,31.7
374,5.968,9.29,0.06151,0.0,5.19,0.0,0.515,58.5,4.8122,5.0,224.0,20.2,396.9,18.7
375,6.425,12.03,6.44405,0.0,18.1,0.0,0.584,74.8,2.2004,24.0,666.0,20.2,97.95,16.1
376,6.341,17.79,6.28807,0.0,18.1,0.0,0.74,96.4,2.072,24.0,666.0,20.2,318.01,14.9
377,5.186,28.32,2.33099,0.0,19.58,0.0,0.871,93.8,1.5296,5.0,403.0,14.7,356.99,17.8
378,5.963,13.45,0.08873,21.0,5.64,0.0,0.439,45.7,6.8147,4.0,243.0,16.8,395.56,19.7
379,6.12,9.08,0.04527,0.0,11.93,0.0,0.573,76.7,2.2875,1.0,273.0,21.0,396.9,20.6
380,5.981,11.65,0.537,0.0,6.2,0.0,0.504,68.1,3.6715,8.0,307.0,17.4,378.35,24.3
381,6.459,23.98,10.6718,0.0,18.1,0.0,0.74,94.8,1.9879,24.0,666.0,20.2,43.06,11.8
382,5.572,14.69,0.13914,0.0,4.05,0.0,0.51,88.5,2.5961,5.0,296.0,16.6,396.9,23.1
383,5.813,19.88,0.98843,0.0,8.14,0.0,0.538,100.0,4.0952,4.0,307.0,21.0,394.54,14.5
384,6.782,25.79,10.8342,0.0,18.1,0.0,0.679,90.8,1.8195,24.0,666.0,20.2,21.57,7.5
385,6.086,10.88,0.33045,0.0,6.2,0.0,0.507,61.5,3.6519,8.0,307.0,17.4,376.75,24.0
386,6.326,12.26,1.19294,0.0,21.89,0.0,0.624,97.7,2.271,4.0,437.0,21.2,396.9,19.6
387,5.913,16.21,0.12329,0.0,10.01,0.0,0.547,92.9,2.3534,6.0,432.0,17.8,394.95,18.8
388,6.162,24.1,6.39312,0.0,18.1,0.0,0.584,97.4,2.206,24.0,666.0,20.2,302.76,13.3
389,6.348,17.64,8.49213,0.0,18.1,0.0,0.584,86.1,2.0527,24.0,666.0,20.2,83.45,14.5
390,6.03,18.8,0.22927,0.0,6.91,0.0,0.448,85.5,5.6894,3.0,233.0,17.9,392.74,16.6
391,6.511,5.28,0.0536,21.0,5.64,0.0,0.439,21.1,6.8147,4.0,243.0,16.8,396.9,25.0
392,6.009,13.27,0.11747,12.5,7.87,0.0,0.524,82.9,6.2267,5.0,311.0,15.2,396.9,18.9
393,5.875,14.43,1.20742,0.0,19.58,0.0,0.605,94.6,2.4259,5.0,403.0,14.7,292.29,17.4
394,5.854,23.79,12.8023,0.0,18.1,0.0,0.74,96.6,1.8956,24.0,666.0,20.2,240.52,10.8
395,5.874,9.1,0.08387,0.0,12.83,0.0,0.437,36.6,4.5026,5.0,398.0,18.7,396.06,20.3
396,6.442,8.16,0.04203,28.0,15.04,0.0,0.464,53.6,3.6659,4.0,270.0,18.2,395.01,22.9
397,6.525,18.13,4.75237,0.0,18.1,0.0,0.713,86.5,2.4358,24.0,666.0,20.2,50.92,14.1
398,6.998,2.94,0.03237,0.0,2.18,0.0,0.458,45.8,6.0622,3.0,222.0,18.7,394.63,33.4
399,5.794,14.1,0.26838,0.0,9.69,0.0,0.585,70.6,2.8927,6.0,391.0,19.2,396.9,18.3
400,7.416,6.19,0.0686,0.0,2.89,0.0,0.445,62.5,3.4952,2.0,276.0,18.0,396.9,33.2
401,6.567,9.28,0.3692,0.0,9.9,0.0,0.544,87.3,3.6023,4.0,304.0,18.4,395.69,23.8
402,7.079,5.7,0.05302,0.0,3.41,0.0,0.489,63.1,3.4145,2.0,270.0,17.8,396.06,28.7
403,7.148,3.56,0.07886,80.0,4.95,0.0,0.411,27.7,5.1167,4.0,245.0,19.2,396.9,37.3
404,6.113,12.73,0.47547,0.0,9.9,0.0,0.544,58.8,4.0019,4.0,304.0,18.4,396.23,21.0
405,5.96,17.27,0.17446,0.0,10.59,1.0,0.489,92.1,3.8771,4.0,277.0,18.6,393.25,21.7
406,6.108,6.57,0.04819,80.0,3.64,0.0,0.392,32.0,9.2203,1.0,315.0,16.4,392.89,21.9
407,6.421,9.14,0.02731,0.0,7.07,0.0,0.469,78.9,4.9671,2.0,242.0,17.8,396.9,21.6
408,6.976,5.64,0.06076,0.0,11.93,0.0,0.573,91.0,2.1675,1.0,273.0,21.0,396.9,23.9
409,5.986,14.81,0.16902,0.0,25.65,0.0,0.581,88.4,1.9929,2.0,188.0,19.1,385.02,21.4
410,6.495,12.8,0.77299,0.0,8.14,0.0,0.538,94.4,4.4547,4.0,307.0,21.0,387.94,18.4
411,7.107,8.61,0.04666,80.0,1.52,0.0,0.404,36.6,7.309,2.0,329.0,12.6,354.31,30.3
412,6.563,5.68,0.10008,0.0,2.46,0.0,0.488,95.6,2.847,3.0,193.0,17.8,396.9,32.5
413,6.251,14.19,3.83684,0.0,18.1,0.0,0.77,91.1,2.2955,24.0,666.0,20.2,350.65,19.9
414,5.531,27.38,41.5292,0.0,18.1,0.0,0.693,85.4,1.6074,24.0,666.0,20.2,329.46,8.5
415,7.016,2.96,6.53876,0.0,18.1,1.0,0.631,97.5,1.2024,24.0,666.0,20.2,392.05,50.0
416,5.876,9.25,0.03548,80.0,3.64,0.0,0.392,19.1,9.2203,1.0,315.0,16.4,395.18,20.9
417,5.87,14.37,0.06899,0.0,25.65,0.0,0.581,69.7,2.2577,2.0,188.0,19.1,389.15,22.0
418,5.837,15.69,12.2472,0.0,18.1,0.0,0.584,59.7,1.9976,24.0,666.0,20.2,24.65,10.2
419,6.604,4.38,0.01439,60.0,2.93,0.0,0.401,18.8,6.2196,1.0,265.0,15.6,376.7,29.1
420,5.889,15.71,0.09378,12.5,7.87,0.0,0.524,39.0,5.4509,5.0,311.0,15.2,390.5,21.7
421,5.927,9.22,0.10328,25.0,5.13,0.0,0.453,47.2,6.932,8.0,284.0,19.7,396.9,19.6
422,5.884,7.79,0.07244,60.0,1.69,0.0,0.411,18.5,10.7103,4.0,411.0,18.3,392.33,18.6
423,6.315,6.29,0.05425,0.0,4.05,0.0,0.51,73.4,3.3175,5.0,296.0,16.6,395.6,24.6
424,5.362,10.19,3.67822,0.0,18.1,0.0,0.77,96.2,2.1036,24.0,666.0,20.2,380.79,20.8
425,4.138,23.34,20.7162,0.0,18.1,0.0,0.659,100.0,1.1781,24.0,666.0,20.2,370.22,11.9
426,6.683,3.73,5.66998,0.0,18.1,1.0,0.631,96.8,1.3567,24.0,666.0,20.2,375.33,50.0
427,6.833,19.69,10.0623,0.0,18.1,0.0,0.584,94.3,2.0882,24.0,666.0,20.2,81.33,14.1
428,5.878,8.1,0.05789,12.5,6.07,0.0,0.409,21.4,6.498,4.0,345.0,18.9,396.21,22.0
429,8.069,4.21,0.12083,0.0,2.89,0.0,0.445,76.0,3.4952,2.0,276.0,18.0,396.9,38.7
430,6.635,5.99,0.01501,80.0,2.01,0.0,0.435,29.7,8.344,4.0,280.0,17.0,390.94,24.5
431,6.219,16.59,5.66637,0.0,18.1,0.0,0.74,100.0,2.0048,24.0,666.0,20.2,395.69,18.4
432,5.803,14.64,4.22239,0.0,18.1,1.0,0.77,89.0,1.9047,24.0,666.0,20.2,353.04,16.8
433,6.273,6.78,0.07896,0.0,12.83,0.0,0.437,6.0,4.2515,5.0,398.0,18.7,394.92,24.1
434,6.402,11.32,2.44953,0.0,19.58,0.0,0.605,95.2,2.2625,5.0,403.0,14.7,330.04,22.3
435,6.38,23.69,23.6482,0.0,18.1,0.0,0.671,96.2,1.3861,24.0,666.0,20.2,396.9,13.1
436,5.019,34.41,1.62864,0.0,21.89,0.0,0.624,100.0,1.4394,4.0,437.0,21.2,396.9,14.4
437,7.61,3.11,0.02177,82.5,2.03,0.0,0.415,15.7,6.27,2.0,348.0,14.7,395.38,42.3
438,7.041,4.74,0.05561,70.0,2.24,0.0,0.4,10.0,7.8278,5.0,358.0,14.8,371.58,29.0
439,8.259,3.54,0.36894,22.0,5.86,0.0,0.431,8.4,8.9067,7.0,330.0,19.1,396.9,42.8
440,6.02,10.11,0.07022,0.0,4.05,0.0,0.51,47.2,3.5549,5.0,296.0,16.6,393.23,23.2
441,5.887,16.35,13.3598,0.0,18.1,0.0,0.693,94.7,1.7821,24.0,666.0,20.2,396.9,12.7
442,5.155,20.08,28.6558,0.0,18.1,0.0,0.597,100.0,1.5894,24.0,666.0,20.2,210.97,16.3
443,6.167,7.51,0.03551,25.0,4.86,0.0,0.426,46.7,5.4007,4.0,281.0,19.0,390.64,22.9
444,6.23,12.93,0.01965,80.0,1.76,0.0,0.385,31.5,9.0892,1.0,241.0,18.2,341.6,20.1
445,5.841,11.41,0.09744,0.0,5.96,0.0,0.499,61.4,3.3779,5.0,279.0,19.2,377.56,20.0
446,5.898,12.67,0.06162,0.0,4.39,0.0,0.442,52.3,8.0136,3.0,352.0,18.8,364.61,17.2
447,6.59,9.5,0.03537,34.0,6.09,0.0,0.433,40.4,5.4917,7.0,329.0,16.1,395.75,22.0
448,7.155,4.82,0.09103,0.0,2.46,0.0,0.488,92.2,2.7006,3.0,193.0,17.8,394.12,37.9
449,6.405,8.2,0.03932,0.0,3.41,0.0,0.489,73.9,3.0921,2.0,270.0,17.8,393.55,22.0
450,6.951,5.1,0.09068,45.0,3.44,0.0,0.437,21.5,6.4798,5.0,398.0,15.2,377.68,37.0
451,6.871,6.07,0.04417,70.0,2.24,0.0,0.4,47.4,7.8278,5.0,358.0,14.8,390.86,24.8
452,6.185,18.03,10.233,0.0,18.1,0.0,0.614,96.7,2.1705,24.0,666.0,20.2,379.7,14.6
453,4.138,37.97,18.4982,0.0,18.1,0.0,0.668,100.0,1.137,24.0,666.0,20.2,396.9,13.8
454,5.936,5.57,0.10659,80.0,1.91,0.0,0.413,19.5,10.5857,4.0,334.0,22.0,376.04,20.6
455,7.691,6.58,0.22188,20.0,6.96,1.0,0.464,51.8,4.3665,3.0,223.0,18.6,390.77,35.2
456,7.185,4.03,0.02729,0.0,7.07,0.0,0.469,61.1,4.9671,2.0,242.0,17.8,392.83,34.7
457,5.693,17.19,0.25915,0.0,21.89,0.0,0.624,96.0,1.7883,4.0,437.0,21.2,392.11,16.2
458,6.595,4.32,0.02763,75.0,2.95,0.0,0.428,21.8,5.4011,3.0,252.0,18.3,395.63,30.8
459,6.516,6.36,0.0187,85.0,4.15,0.0,0.429,27.7,8.5353,4.0,351.0,17.9,392.43,23.1
460,7.147,5.33,0.06905,0.0,2.18,0.0,0.458,54.2,6.0622,3.0,222.0,18.7,396.9,36.2
461,6.43,5.21,0.02985,0.0,2.18,0.0,0.458,58.7,6.0622,3.0,222.0,18.7,394.12,28.7
462,6.164,21.46,0.40771,0.0,6.2,1.0,0.507,91.3,3.048,8.0,307.0,17.4,395.24,21.7
463,6.405,10.63,0.22876,0.0,8.56,0.0,0.52,85.4,2.7147,5.0,384.0,20.9,70.8,18.6
464,6.226,10.15,0.19657,22.0,5.86,0.0,0.431,79.2,8.0555,7.0,330.0,19.1,376.14,20.5
465,5.012,12.12,1.12658,0.0,19.58,1.0,0.871,88.0,1.6102,5.0,403.0,14.7,343.28,15.3
466,5.682,10.21,0.17142,0.0,6.91,0.0,0.448,33.8,5.1004,3.0,233.0,17.9,396.9,19.3
467,4.926,29.53,2.36862,0.0,19.58,0.0,0.871,95.7,1.4608,5.0,403.0,14.7,391.71,14.6
468,6.982,4.86,0.1,34.0,6.09,0.0,0.433,17.7,5.4917,7.0,329.0,16.1,390.43,33.1
469,5.468,26.42,4.0974,0.0,19.58,0.0,0.871,100.0,1.4118,5.0,403.0,14.7,396.9,15.6
470,5.399,30.81,0.25387,0.0,6.91,0.0,0.448,95.3,5.87,3.0,233.0,17.9,396.9,14.4
471,5.304,24.91,15.0234,0.0,18.1,0.0,0.614,97.3,2.1007,24.0,666.0,20.2,349.48,12.0
472,6.417,8.81,0.04684,0.0,3.41,0.0,0.489,66.1,3.0923,2.0,270.0,17.8,392.18,22.6
473,5.747,19.92,7.67202,0.0,18.1,0.0,0.693,98.9,1.6334,24.0,666.0,20.2,393.1,8.5
474,5.404,13.28,1.49632,0.0,19.58,0.0,0.871,100.0,1.5916,5.0,403.0,14.7,341.6,19.6
475,4.906,34.77,11.1081,0.0,18.1,0.0,0.668,100.0,1.1742,24.0,666.0,20.2,396.9,13.8
476,6.417,19.31,7.52601,0.0,18.1,0.0,0.713,98.3,2.185,24.0,666.0,20.2,304.21,13.0
477,5.88,12.03,2.3139,0.0,19.58,0.0,0.605,97.3,2.3887,5.0,403.0,14.7,348.13,19.1
478,6.431,5.08,0.19186,0.0,7.38,0.0,0.493,14.7,5.4159,5.0,287.0,19.6,393.68,24.6
479,5.961,17.93,0.09299,0.0,25.65,0.0,0.581,92.9,2.0869,2.0,188.0,19.1,378.09,20.5
480,6.003,21.32,4.42228,0.0,18.1,0.0,0.584,94.5,2.5403,24.0,666.0,20.2,331.29,19.1
481,5.705,11.5,0.25356,0.0,9.9,0.0,0.544,77.7,3.945,4.0,304.0,18.4,396.42,16.2
482,6.849,7.53,0.04932,33.0,2.18,0.0,0.472,70.3,3.1827,7.0,222.0,18.4,396.9,28.2
483,6.174,24.16,0.2909,0.0,21.89,0.0,0.624,93.6,1.6119,4.0,437.0,21.2,388.08,14.0
484,6.211,7.44,0.15936,0.0,6.91,0.0,0.448,6.5,5.7209,3.0,233.0,17.9,394.46,24.7
485,5.859,9.64,0.08447,0.0,4.05,0.0,0.51,68.7,2.7019,5.0,296.0,16.6,393.23,22.6
486,7.327,11.25,0.82526,20.0,3.97,0.0,0.647,94.5,2.0788,5.0,264.0,13.0,393.42,31.0
487,5.627,22.88,9.39063,0.0,18.1,0.0,0.74,93.9,1.8172,24.0,666.0,20.2,396.9,12.8
488,6.393,5.19,0.12757,30.0,4.93,0.0,0.428,7.8,7.0355,6.0,300.0,16.6,374.71,23.7
489,6.312,10.58,3.67367,0.0,18.1,0.0,0.583,51.9,3.9917,24.0,666.0,20.2,388.62,21.2
490,6.065,5.52,0.09164,0.0,10.81,0.0,0.413,7.8,5.2873,4.0,305.0,19.2,390.91,22.8
491,6.655,17.73,5.44114,0.0,18.1,0.0,0.713,98.2,2.3552,24.0,666.0,20.2,355.29,15.2
492,5.762,10.42,2.81838,0.0,18.1,0.0,0.532,40.3,4.0983,24.0,666.0,20.2,392.92,21.8
493,6.064,14.66,0.13587,0.0,10.59,1.0,0.489,59.1,4.2392,4.0,277.0,18.6,381.32,24.4
494,6.376,14.65,3.69311,0.0,18.1,0.0,0.713,88.4,2.5671,24.0,666.0,20.2,391.43,17.7
495,6.015,12.86,0.05188,0.0,4.49,0.0,0.449,45.1,4.4272,3.0,247.0,18.5,395.99,22.5
496,5.708,11.74,0.28392,0.0,7.38,0.0,0.493,74.3,4.7211,5.0,287.0,19.6,391.13,18.5
497,6.433,9.52,0.16439,22.0,5.86,0.0,0.431,49.1,7.8265,7.0,330.0,19.1,374.71,24.5
498,5.905,11.45,4.83567,0.0,18.1,0.0,0.583,53.2,3.1523,24.0,666.0,20.2,388.22,20.6
499,6.209,13.22,7.83932,0.0,18.1,0.0,0.655,65.4,2.9634,24.0,666.0,20.2,396.9,21.4
500,7.645,3.01,0.06129,20.0,3.33,1.0,0.4429,49.7,5.2119,5.0,216.0,14.9,377.07,46.0
501,6.382,10.36,0.40202,0.0,9.9,0.0,0.544,67.2,3.5325,4.0,304.0,18.4,395.21,23.1
502,5.891,10.87,0.13642,0.0,10.59,0.0,0.489,22.3,3.9454,4.0,277.0,18.6,396.9,22.6
503,5.834,8.47,0.62739,0.0,8.14,0.0,0.538,56.5,4.4986,4.0,307.0,21.0,395.62,19.9
504,5.67,17.6,0.17899,0.0,9.69,0.0,0.585,28.8,2.7986,6.0,391.0,19.2,393.29,23.1
505,6.223,21.78,17.8667,0.0,18.1,0.0,0.671,100.0,1.3861,24.0,666.0,20.2,393.74,10.2
